x,y,z
-2083.449841,-58627.82263,30
-2157.700984,-58590.84677,30
-2232.232379,-58554.21671,30
-2306.203338,-58516.89516,30
-2378.773166,-58477.84479,30
-2449.101174,-58436.02831,30
-2516.346672,-58390.40841,30
-2579.668968,-58339.94777,30
-2638.227372,-58283.6091,30
-3288.055814,-57528.63639,30
-3875.764571,-56726.25625,30
-4408.949622,-55883.30084,30
-4895.206945,-55006.60231,30
-5342.132522,-54102.99281,30
-5757.32233,-53179.30452,30
-6148.372352,-52242.36957,30
-6522.878567,-51299.02013,30
-6888.436953,-50356.08836,30
-7252.643492,-49420.4064,30
-7303.141,-49287.88949,30
-7350.783064,-49154.20359,30
-7395.584752,-49019.44565,30
-7437.561135,-48883.71262,30
-7476.727283,-48747.10147,30
-7513.098267,-48609.70913,30
-7546.689158,-48471.63257,30
-7577.515024,-48332.96873,30
-7605.590938,-48193.81457,30
-7630.931968,-48054.26704,30
-7669.812395,-47776.64016,30
-7694.103488,-47497.17482,30
-7707.667327,-47216.37094,30
-7714.365998,-46934.72845,30
-7718.061583,-46652.74727,30
-7722.616166,-46370.92733,30
-7731.89183,-46089.76856,30
-7749.750657,-45809.77088,30
-7780.054734,-45531.43422,30
-7826.666138,-45255.25851,30
-7898.028293,-44969.85261,30
-7990.52731,-44689.86455,30
-8098.299891,-44413.84564,30
-8215.482733,-44140.34724,30
-8336.212536,-43867.92066,30
-8454.625997,-43595.11724,30
-8564.859815,-43320.48832,30
-8661.050687,-43042.58522,30
-8737.335314,-42759.95929,30
-8787.850393,-42471.16185,30
-8913.257149,-41074.22178,30
-8955.896754,-39673.25418,30
-8925.883077,-38269.58138,30
-8833.329986,-36864.5257,30
-8688.351348,-35459.40946,30
-8501.061033,-34055.555,30
-8281.572907,-32654.28465,30
-8040.00084,-31256.92072,30
-7786.458698,-29864.78554,30
-7531.06035,-28479.20145,30
-7393.095714,-27700.04281,30
-7258.040595,-26914.91476,30
-7118.632475,-26127.76373,30
-6967.608828,-25342.53614,30
-6797.707135,-24563.17841,30
-6601.664871,-23793.63696,30
-6372.219517,-23037.85821,30
-6102.108552,-22299.78858,30
-5784.069453,-21583.37449,30
-5410.839699,-20892.56237,30
-4702.252679,-19807.25745,30
-3914.556378,-18780.19529,30
-3058.586252,-17804.68507,30
-2145.177755,-16874.03596,30
-1185.166344,-15981.55713,30
-189.3874718,-15120.55776,30
831.3234031,-14284.34701,30
1866.130828,-13466.23406,30
2904.199347,-12659.52808,30
3934.693503,-11857.53824,30
4167.444834,-11676.71275,30
4402.886526,-11497.98146,30
4641.369628,-11322.58566,30
4883.245192,-11151.76664,30
5128.864264,-10986.76571,30
5378.577898,-10828.82415,30
5632.737139,-10679.18327,30
5891.693039,-10539.08437,30
6155.796646,-10409.76873,30
6425.39901,-10292.47765,30
6548.847569,-10246.56078,30
6674.490304,-10207.56035,30
6801.96805,-10174.39674,30
6930.921645,-10145.99032,30
7060.991924,-10121.26148,30
7191.819723,-10099.13059,30
7323.045878,-10078.51802,30
7454.311227,-10058.34416,30
7585.256603,-10037.52937,30
7715.522844,-10014.99403,30
8462.115106,-9891.498375,30
9212.801931,-9788.740362,30
9966.158151,-9699.805038,30
10720.75859,-9617.777449,30
11475.17808,-9535.742645,30
12227.99144,-9446.785667,30
12977.77351,-9343.991565,30
13723.0991,-9220.445384,30
14462.54306,-9069.232171,30
15194.6802,-8883.436974,30
15391.03737,-8827.282366,30
15587.00883,-8769.744482,30
15782.59186,-8710.856556,30
15977.78376,-8650.65182,30
16172.58184,-8589.163506,30
16366.9834,-8526.42485,30
16560.98573,-8462.469086,30
16754.58613,-8397.329446,30
16947.7819,-8331.039164,30
17140.57034,-8263.631474,30
214913.0963,13058.82944,35
214937.0799,13371.67582,35
214962.4687,13684.44116,35
214988.6604,13997.1602,35
215015.0529,14309.86765,35
215041.0438,14622.59827,35
215066.0308,14935.38677,35
215089.4117,15248.2679,35
215110.5843,15561.27638,35
215128.9462,15874.44695,35
215143.8951,16187.81434,35
215149.1957,16430.77389,35
215146.6932,16674.24437,35
215139.0651,16918.02387,35
215128.9885,17161.91044,35
215119.1409,17405.70217,35
215112.1995,17649.19712,35
215110.8417,17892.19337,35
215117.7448,18134.48898,35
215135.5861,18375.88203,35
215167.0429,18616.17059,35
215210.7633,18836.51906,35
215267.5016,19053.61981,35
215334.5343,19268.17147,35
215409.138,19480.87266,35
215488.5894,19692.42201,35
215570.1649,19903.51815,35
215651.1413,20114.85971,35
215728.795,20327.14533,35
215800.4028,20541.07362,35
215863.2411,20757.34322,35
215930.4134,21018.23511,35
215994.3217,21279.98483,35
216055.108,21542.51963,35
216112.9146,21805.76681,35
216167.8837,22069.65363,35
216220.1575,22334.10737,35
216269.8781,22599.0553,35
216317.1878,22864.4247,35
216362.2286,23130.14285,35
216405.1428,23396.13701,35
216445.9599,23780.21108,35
216456.9014,24173.79176,35
216449.2634,24573.00647,35
216434.3421,24973.98262,35
216423.4335,25372.84765,35
216427.8338,25765.72897,35
216458.839,26148.75401,35
216527.7454,26518.0502,35
216645.849,26869.74496,35
216824.4459,27199.96571,35
216879.6693,27270.66996,35
216943.8176,27332.81143,35
217015.5563,27387.34394,35
217093.5509,27435.22134,35
217176.467,27477.39746,35
217262.9699,27514.82616,35
217351.7252,27548.46126,35
217441.3985,27579.25661,35
217530.6551,27608.16605,35
217618.1606,27636.14343,35
217748.5621,27676.94375,35
217879.7488,27715.40837,35
218011.6558,27751.55195,35
218144.2181,27785.38911,35
218277.3706,27816.93449,35
218411.0483,27846.20273,35
218545.1862,27873.20846,35
218679.7194,27897.96632,35
218814.5827,27920.49095,35
218949.7112,27940.79698,35
143936.6382,33750.00138,15
143620.3231,33750.00138,15
143359.21,33719.78459,15
143103.6658,33693.69309,15
142852.6041,33679.1526,15
142512.8232,33642.41948,15
142161.5078,33611.61893,15
141824.9125,33571.62667,15
141604.1187,33540.62699,15
141392.9774,33508.22813,15
141163.0874,33470.88655,15
140987.363,33435.50561,15
140846.5874,33412.61741,15
140753.562,33394.34125,15
140651.4698,33372.30109,15
140553.1163,33351.55436,15
140495.0638,33337.74253,15
140429.7478,33321.60123,15
140359.6171,33306.31894,15
140289.4588,33288.62466,15
140176.5697,33260.96434,15
139753.4246,33151.88828,15
139292.5375,33021.71068,15
138826.3043,32907.05567,15
138357.0459,32801.46298,15
137887.0833,32698.47237,15
137418.7373,32591.62358,15
136954.329,32474.45636,15
136496.1793,32340.51045,15
136046.6092,32183.32561,15
135607.9395,31996.44157,15
134926.5452,31644.92752,15
134269.5279,31251.69526,15
133631.81,30825.29632,15
133008.3138,30374.28224,15
132393.9617,29907.20456,15
131783.6761,29432.61482,15
131172.3793,28959.06455,15
130554.9938,28495.1053,15
129926.4418,28049.2886,15
129281.6459,27630.166,15
129200.5539,27581.43915,15
129118.5645,27534.26446,15
129035.8492,27488.34402,15
128952.5796,27443.37991,15
128868.9274,27399.07422,15
128785.0641,27355.12905,15
128701.1613,27311.24647,15
128617.3906,27267.12859,15
128533.9237,27222.47748,15
128450.932,27176.99524,15
127827.9181,26840.83082,15
127196.9629,26516.07734,15
126561.7134,26197.41104,15
125925.8161,25879.50817,15
125292.9178,25557.045,15
124666.6652,25224.69777,15
124050.705,24877.14273,15
123448.684,24509.05613,15
122864.2488,24115.11423,15
122301.0462,23689.99327,15
121894.0992,23339.38905,15
121510.0159,22964.86285,15
121144.0756,22571.28653,15
120791.5579,22163.53198,15
120447.7424,21746.47105,15
120107.9085,21324.97561,15
119767.3358,20903.91753,15
119421.3038,20488.16869,15
119065.0921,20082.60094,15
118693.98,19692.08616,15
118547.3561,19553.6227,15
118393.4544,19421.91957,15
118234.8015,19294.70028,15
118073.9237,19169.68835,15
117913.3476,19044.60733,15
117755.5994,18917.18072,15
117603.2057,18785.13207,15
117458.6928,18646.18489,15
117324.5872,18498.06271,15
117203.4154,18338.48906,15
116973.6557,17971.24003,15
116772.9698,17588.48252,15
116596.5462,17192.83409,15
116439.5733,16786.91231,15
116297.2397,16373.33475,15
116164.7339,15954.71897,15
116037.2445,15533.68254,15
115909.96,15112.84302,15
115778.069,14694.81798,15
115636.7598,14282.22499,15
115570.1489,14094.72154,15
115505.1952,13906.64243,15
115441.5459,13718.10979,15
115378.8486,13529.24573,15
115316.7504,13340.17237,15
115254.8989,13151.01184,15
115192.9414,12961.88625,15
115130.5251,12772.91772,15
115067.2976,12584.22836,15
115002.9061,12395.94031,15
114747.2911,11669.75197,15
114485.4688,10945.67771,15
114219.5355,10223.00956,15
113951.5874,9501.039603,15
113683.7209,8779.059886,15
113418.0322,8056.362473,15
113156.6175,7332.239426,15
112901.5732,6605.982803,15
112654.9956,5876.884664,15
112418.981,5144.237073,15
112370.3341,4984.203702,15
112324.0498,4823.484326,15
112279.6502,4662.216885,15
112236.6573,4500.539319,15
112194.5933,4338.589572,15
112152.98,4176.50558,15
112111.3397,4014.42529,15
112069.1945,3852.486636,15
112026.0662,3690.827562,15
111981.4772,3529.586008,15
111597.1165,2213.259305,15
111194.0253,901.8530047,15
110779.0201,-406.3924976,15
110358.917,-1713.236806,15
109940.5323,-3020.439524,15
109530.6823,-4329.760258,15
109136.1833,-5642.958609,15
108763.8517,-6961.794185,15
108420.5036,-8288.026589,15
108112.9554,-9623.415424,15
108029.1485,-10039.37836,15
107954.761,-10457.05418,15
107888.4385,-10876.17956,15
107828.8265,-11296.49122,15
107774.5706,-11717.72585,15
107724.3162,-12139.62014,15
107676.709,-12561.9108,15
107630.3944,-12984.33452,15
107584.018,-13406.628,15
107536.2254,-13828.52794,15
107406.0618,-15035.03469,15
107292.2406,-16243.37004,15
107189.9003,-17452.97656,15
107094.1791,-18663.29686,15
107000.2155,-19873.77352,15
106903.1477,-21083.84913,15
106798.1141,-22292.96628,15
106680.253,-23500.56757,15
106544.7027,-24706.09557,15
106386.6017,-25908.99288,15
106298.651,-26482.32204,15
106199.8746,-27053.83044,15
106092.6311,-27623.91942,15
105979.2789,-28192.99036,15
105862.1765,-28761.4446,15
105743.6825,-29329.6835,15
105626.1554,-29898.10843,15
105511.9537,-30467.12073,15
105403.4359,-31037.12177,15
105302.9605,-31608.5129,15
105242.0272,-31962.06577,15
105178.6259,-32315.56136,15
105114.4893,-32669.12938,15
105051.35,-33022.8995,15
104990.9408,-33377.00144,15
104934.9943,-33731.56488,15
104885.2433,-34086.71952,15
104843.4205,-34442.59505,15
104811.2586,-34799.32118,15
104790.4902,-35157.0276,15
104788.6655,-35555.14714,15
104810.8746,-35953.39608,15
104850.3322,-36351.68011,15
104900.2526,-36749.90489,15
104953.8503,-37147.97609,15
105004.3397,-37545.79941,15
105044.9353,-37943.2805,15
105068.8514,-38340.32504,15
105069.3027,-38736.83871,15
105039.5034,-39132.72717,15
105022.6571,-39241.91349,15
104999.1424,-39349.68285,15
104970.1361,-39456.2853,15
104936.8149,-39561.97089,15
104900.3556,-39666.98966,15
104861.9349,-39771.59167,15
104822.7297,-39876.02697,15
104783.9168,-39980.5456,15
104746.6727,-40085.39762,15
104712.1745,-40190.83306,15
19297.7088,-22251.39644,40
19491.31987,-22327.0337,40
19683.48909,-22407.34438,40
19873.87379,-22492.4404,40
20062.1313,-22582.43368,40
20247.91892,-22677.43613,40
20430.89399,-22777.55966,40
20610.71382,-22882.91618,40
20787.03573,-22993.61761,40
20959.51705,-23109.77585,40
21127.8151,-23231.50282,40
21786.97428,-23787.29459,40
22381.99108,-24406.15972,40
22922.84897,-25077.83179,40
23419.53142,-25792.04432,40
23882.02192,-26538.53089,40
24320.30395,-27307.02505,40
24744.36099,-28087.26034,40
25164.17652,-28868.97031,40
25589.73401,-29641.88853,40
26031.01695,-30395.74854,40
26621.29797,-31365.38568,40
27207.72064,-32338.50752,40
27787.56257,-33316.13941,40
28358.10142,-34299.30673,40
28916.6148,-35289.03483,40
29460.38037,-36286.34908,40
29986.67576,-37292.27484,40
30492.77859,-38307.83748,40
30975.96651,-39334.06236,40
31433.51715,-40371.97485,40
31511.3419,-40574.25595,40
31577.44801,-40781.15411,40
31635.21367,-40991.29958,40
31688.01708,-41203.32261,40
31739.23642,-41415.85347,40
31792.24988,-41627.52239,40
31850.43565,-41836.95964,40
31917.17193,-42042.79546,40
31995.8369,-42243.66011,40
32089.80875,-42438.18384,40
32354.40597,-42889.68329,40
32647.29336,-43322.27906,40
32963.31174,-43739.44037,40
33297.30195,-44144.63647,40
33644.10484,-44541.33659,40
33998.56123,-44933.00997,40
34355.51198,-45323.12583,40
34709.7979,-45715.15342,40
35056.25984,-46112.56198,40
35389.73864,-46518.82073,40
35849.4695,-47103.54108,40
36306.90243,-47690.05492,40
36762.44292,-48278.04576,40
37216.49649,-48867.1971,40
37669.46864,-49457.19246,40
38121.76488,-50047.71536,40
38573.79072,-50638.44929,40
39025.95167,-51229.07778,40
39478.65322,-51819.28433,40
39932.30089,-52408.75246,40
407571.0987,50899.70175,15
407669.563,50766.70407,15
407765.6975,50631.67929,15
407860.5007,50495.49616,15
407954.9711,50359.02345,15
408050.1072,50223.12994,15
408146.9074,50088.6844,15
408246.3704,49956.55558,15
408349.4947,49827.61228,15
408457.2787,49702.72324,15
408570.7209,49582.75725,15
408675.6833,49478.7143,15
408782.8088,49376.01872,15
408892.2831,49275.3588,15
409004.2924,49177.42284,15
409119.0225,49082.89915,15
409236.6594,48992.47601,15
409357.389,48906.84175,15
409481.3972,48826.68464,15
409608.8699,48752.693,15
409739.9931,48685.55512,15
409863.9487,48633.7063,15
409991.6776,48592.80976,15
410122.3698,48560.44834,15
410255.2154,48534.20489,15
410389.4043,48511.66228,15
410524.1265,48490.40337,15
410658.572,48468.01099,15
410791.931,48442.06803,15
410923.3932,48410.15732,15
411052.1489,48369.86173,15
411273.4854,48285.94271,15
411491.5305,48194.13637,15
411706.8652,48095.83461,15
411920.0702,47992.42932,15
412131.7264,47885.3124,15
412342.4145,47775.87574,15
412552.7155,47665.51124,15
412763.2101,47555.61079,15
412974.4791,47447.56628,15
413187.1035,47342.76962,15
86931.44522,104570.9089,20
87569.7335,105028.6389,20
88199.31906,105501.2372,20
88823.93167,105982.3318,20
89447.30112,106465.5503,20
90073.15717,106944.5205,20
90705.2296,107412.8702,20
91347.24817,107864.2272,20
92002.94267,108292.2192,20
92676.04286,108690.474,20
93370.27852,109052.6194,20
93821.6799,109255.6574,20
94282.39557,109435.1208,20
94750.86007,109594.9038,20
95225.50794,109738.9007,20
95704.7737,109871.0058,20
96187.09191,109995.1134,20
96670.89709,110115.1176,20
97154.62379,110234.9129,20
97636.70654,110358.3934,20
98115.57988,110489.4534,20
98957.57703,110730.533,20
99799.6272,110971.9585,20
100642.0251,111212.4356,20
101485.0656,111450.6701,20
102329.0433,111685.3677,20
103174.253,111915.2344,20
104020.9896,112138.9759,20
104869.5476,112355.298,20
105720.222,112562.9065,20
106573.3074,112760.5073,20
107217.9519,112899.2583,20
107864.7066,113027.5435,20
108513.1301,113147.5719,20
109162.7812,113261.5525,20
109813.2186,113371.6943,20
110464.0011,113480.2062,20
111114.6872,113589.2973,20
111764.8358,113701.1765,20
112414.0055,113818.0528,20
113061.7551,113942.1352,20
113349.0279,113998.2853,20
113636.6399,114053.3446,20
113924.3655,114108.1693,20
114211.9787,114163.6161,20
114499.2537,114220.5412,20
114785.9647,114279.8012,20
115071.8859,114342.2524,20
115356.7914,114408.7514,20
115640.4553,114480.1544,20
115922.6519,114557.318,20
117129.458,114900.2387,20
118338.7541,115245.2258,20
119547.2946,115598.166,20
120751.8339,115964.9458,20
121949.1266,116351.452,20
123135.9271,116763.5712,20
124308.9899,117207.1901,20
125465.0696,117688.1953,20
126600.9205,118212.4736,20
127713.2972,118785.9115,20
128235.5325,119088.6772,20
128742.4779,119415.5255,20
129236.3051,119762.8653,20
129719.1856,120127.1055,20
130193.291,120504.6549,20
130660.7929,120891.9222,20
131123.8629,121285.3163,20
131584.6726,121681.2459,20
132045.3936,122076.12,20
132508.1975,122466.3474,20
132713.8262,122649.9827,20
132910.5832,122846.2591,20
133101.6611,123050.4626,20
133290.2525,123257.8789,20
133479.5502,123463.794,20
133672.7466,123663.4936,20
133873.0345,123852.2638,20
134024.4926,124058.5878,20
134275.4093,124399.0798,20
134646.0147,124958.8516,20
134867.4666,125364.9517,20
135064.3794,125813.028,20
135346.4806,126418.5794,20
135627.7262,126949.0869,20
135891.5347,127413.079,20
136112.0359,127735.797,20
136432.4054,128040.6977,20
136735.0527,128254.0683,20
137112.839,128474.9214,20
137850.6891,128825.0976,20
138625.3957,129116.4785,20
139566.7237,129393.4506,20
140195.9385,129569.6072,20
140909.2839,129753.4102,20
141786.0788,129855.993,20
142827.2287,129970.0014,20
144000.0243,129970.0014,20
146007.6732,130248.7555,20
147697.8976,130360.6634,20
148617.7239,130497.7532,20
149398.4696,130661.0253,20
149850.5589,130762.4545,20
150409.6859,130903.6571,20
151136.2345,131086.8296,20
151725.3393,131241.2031,20
152381.9904,131387.9983,20
153001.4189,131535.1342,20
153410.5441,131631.9267,20
153821.5514,131725.6256,20
154184.1965,131807.0272,20
154412.7388,131851.4995,20
154733.0272,131910.3732,20
154984.2946,131947.9661,20
155190.2196,131976.5131,20
155424.4866,132006.9438,20
155688.0054,132039.5848,20
155849.1221,132060.9038,20
155968.7393,132077.1258,20
156084.3798,132091.6227,20
156195.6692,132105.752,20
157337.2901,132244.3053,20
158485.206,132316.4617,20
159637.8381,132338.852,20
160793.6077,132328.107,20
161950.9363,132300.8577,20
163108.245,132273.7349,20
164263.9553,132263.3694,20
165416.4885,132286.3921,20
166564.2659,132359.4338,20
167705.7089,132499.1254,20
167765.8214,132508.6205,20
167825.9155,132518.2342,20
167885.991,132527.9661,20
167946.0475,132537.8156,20
168006.0848,132547.7822,20
168066.1026,132557.8655,20
168126.1007,132568.0649,20
168186.0789,132578.3799,20
168246.0367,132588.81,20
168305.974,132599.3548,20
12965.8414,13413.00229,10
12919.69673,13392.89934,10
12873.55766,13372.78346,10
12827.42488,13352.65313,10
12781.29907,13332.50682,10
12735.18091,13312.343,10
12689.07109,13292.16015,10
12642.97028,13271.95674,10
12596.87918,13251.73124,10
12550.79847,13231.48212,10
12504.72882,13211.20785,10
12085.71267,13019.01844,10
11669.91432,12816.52502,10
11255.83161,12608.42614,10
10841.96233,12399.42034,10
10426.80434,12194.20616,10
10008.85544,11997.48215,10
9586.613461,11813.94686,10
9158.576224,11648.29882,10
8724.717849,11539.8131,10
8265.312346,11460.78573,10
7587.286925,11390.44715,10
6910.82313,11353.7061,10
6214.534773,11391.50483,10
5525.535754,11435.33219,10
4816.931877,11466.07551,10
4000.024278,11480.00138,10
3414.746181,11480.00138,10
2683.457411,11474.78137,10
1997.352233,11419.64107,10
1280.577403,11324.83446,10
503.5546855,11220.66803,10
-280.4898628,11071.87358,10
-1122.993018,10893.49357,10
-1806.026852,10765.80231,10
-2583.7816,10643.308,10
-3359.971281,10511.1218,10
-4134.438288,10369.42103,10
-4907.025022,10218.38301,10
-5677.573878,10058.18506,10
-6445.927252,9889.004492,10
-7114.883729,9742.209696,10
-7787.633453,9599.796359,10
-8461.659103,9456.437574,10
-9134.443358,9306.806438,10
-9803.468898,9145.576045,10
-10466.2184,8967.419495,10
-11120.17455,8767.009878,10
-11762.82002,8539.020294,10
-12391.6375,8278.123837,10
-13004.10966,7978.993602,10
-13378.28779,7766.020658,10
-13739.93675,7532.674339,10
-14090.23753,7281.426212,10
-14430.37112,7014.747841,10
-14761.51852,6735.110796,10
-15084.86071,6444.986641,10
-15401.57869,6146.846942,10
-15712.85346,5843.163265,10
-16019.866,5536.407178,10
-16323.79731,5229.050248,10
-16572.09472,4971.161942,10
-16814.31741,4707.409056,10
-17050.7752,4438.257994,10
-17281.77795,4164.175171,10
-17507.6355,3885.626995,10
-17728.65768,3603.079877,10
-17945.15434,3317.000225,10
-18157.43533,3027.85445,10
-18365.81047,2736.108963,10
-18570.58962,2442.230172,10
-18855.33621,2015.986061,10
-19129.00441,1582.7095,10
-19393.54924,1143.641514,10
-19650.9257,700.0231175,10
-19903.0888,253.0953336,10
-20151.99355,-195.9008213,10
-20399.59495,-645.7243231,10
-20647.84802,-1095.134154,10
-20898.70777,-1542.889295,10
-21154.12919,-1987.748725,10
-42191.3714,93150.0039,25
-42761.05602,92272.32849,25
-43341.70583,91401.9354,25
-43931.74145,90537.79159,25
-44529.58347,89678.86401,25
-45133.6525,88824.11962,25
-45742.36914,87972.52539,25
-46354.15402,87123.04827,25
-46967.42772,86274.65522,25
-47580.61085,85426.31321,25
-48192.12402,84576.98919,25
-48431.4404,84249.3945,25
-48675.52084,83925.35756,25
-48923.3001,83604.08069,25
-49173.71296,83284.7662,25
-49425.69419,82966.61637,25
-49678.17855,82648.83353,25
-49930.10083,82330.61997,25
-50180.39578,82011.178,25
-50427.99819,81689.70993,25
-50671.84281,81365.41807,25
-51087.90757,80799.67814,25
-51500.17389,80231.18021,25
-51909.31208,79660.41098,25
-52315.99248,79087.85719,25
-52720.88543,78514.00554,25
-53124.66123,77939.34276,25
-53527.99024,77364.35556,25
-53931.54278,76789.53067,25
-54335.98917,76215.35479,25
-54741.99975,75642.31466,25
228979.4813,76072.90183,15
228816.7842,76004.7966,15
228654.2838,75936.17773,15
228492.0311,75866.95113,15
228330.077,75797.0227,15
228168.4723,75726.29835,15
228007.268,75654.68399,15
227846.515,75582.08551,15
227686.2643,75508.40882,15
227526.5667,75433.55983,15
227367.4732,75357.44445,15
227075.1856,75217.01539,15
226782.3243,75077.40187,15
226489.3905,74937.7404,15
226196.885,74797.16748,15
225905.3087,74654.8196,15
225615.1627,74509.83328,15
225326.9478,74361.34501,15
225041.165,74208.49128,15
224758.3153,74050.4086,15
224478.8996,73886.23348,15
224206.9901,73714.81929,15
223940.9752,73534.40939,15
223679.4139,73347.19904,15
